職缺,職缺公司,職缺日期,職缺技術,薪水,工作地點,職務類別,內容
品保工程師,蔚品國際股份有限公司,5/10,5年以上,"月薪35,000~45,000元",台中市神岡區,金屬家具及裝設品製造業,"正措施的要求，主導起草、監管及控制等相關活動。
5.查核來自客戶或政府的相關規範，並將其要求下展至生產現場。
6.當複雜的品質議題或問題發生時，與其他品質工程師協同對問題進行遏制、處置及相關的改善措施。
7.推行品質計劃和產品開發流程中所有相關的活"
監造工程師,正昇工程顧問有限公司,5/06,經歷不拘,待遇面議,台南市新營區,建築及工程技術服務業,負責監造業務(具工程品管工程師證照)
手機測試工程師 Network Admin,TECHMAHINDRALIMITED_印度商馬辛達國際科技有限公司台灣分公司,5/21,經歷不拘,"月薪63,000~65,000元",台北市信義區,其他電信及通訊相關業,"測試工程師 Network Admin
Device Farm/Network Admin 
•	Software Engineer I (Tester)
•	Overview
This position will be supporting"
品管工程師,艾斯特科技有限公司,5/22,8年以上,"月薪35,000~65,000元",南投縣南投市,精密儀器相關製造業,"品管／品保工程師
1. 建立與監控代工金屬材料/工程材料生產標準，審查初級產品的樣品並進行測試，以確保成品具備應有的品質。
2. 開發及實施產品追蹤和品管系統，分析生產、品管、維護和其他操作報告，以檢視生產問題。
3. 執行公司代工件加工品品質檢"
量測工程師,元順利有限公司,5/19,2年以上,"月薪35,000元以上",台中市潭子區,金屬加工用機械製造修配業,"1.三次元執行量測 (熟蔡司量測機台佳)
2.需具備辨識2D機械圖能力，實際透過識圖執行QC工作 
3.測量工作含：重點尺寸量測 
4.執行PPAP重複性與再現性之量測 
5.製作量測報告 
6. 與相關部門與專案工程師討論量測事項

"
客服工程師,捷揚光電股份有限公司,5/25,2年以上,"月薪30,000~45,000元",新竹縣竹北市,光學器材製造業,"1.客服工程師需負責AV over IP 產品相關技術支持
2.協助產品開發、協同測試部門建立測試平台、客戶端的應用及驗證
3.回覆客戶端應用技術問題，提供產品技術支援或系統設計參考
4.新產品性能驗證
5.客戶技術支援
6.其他主管交付任務"
測試工程師,德克互聯科技有限公司,5/26,1年以上,待遇面議,台北市內湖區,其它軟體及網路相關業,"1、產品上線品質驗證及控管。
2、測試流程及環境建置。
3、與前後端工程師一起討論開發與測試計劃。
4、撰寫Test Case及產出Test Report。

歡迎新鮮人投遞，起薪30,000元起~
資深同仁者，面議~"
環境工程師,康銘環境工程技師事務所,5/23,經歷不拘,"月薪30,000~38,000元",高雄市三民區,環境衛生及污染防治服務業,"1.負責環保許可,環境影響評估,環境監測報告資料撰寫,資料彙整分析,案件執行期間之溝通與協調
2.協助客戶進行排放量及空污費申報

享勞健保,意外險,員工旅遊補助"
測試助理工程師,麗光科技股份有限公司,5/20,經歷不拘,"月薪24,800~35,000元",嘉義縣鹿草鄉,照明設備製造業,"1.設備儀器操作，並輸出報告整理
2.電路板焊接、測試
3.樣品組裝
4.協助工程師交辦事項
"
品管工程師,懷恩測量工程有限公司,5/20,經歷不拘,"月薪26,000~60,000元",台中市北屯區,土木工程業,"1.具有品管工程師執照之人員
2.品管文件記錄及管理
3.材料送審，送審文件管理
4.有工作熱忱且積極進取者佳"
建廠IE工程師(需配合高雄出差),能元科技股份有限公司,5/21,5年以上,待遇面議,台南市善化區,光電產業,"1.新廠建置專案相關事項之規劃、發包、執行與進度追蹤
2.Layout之規劃與繪製
3.產能、人力、生產力、工時等之計算與評估
4.跨部門溝通與專案整合
5.其他交辦事項之執行"
設計服務工程師,晶成半導體股份有限公司,5/20,經歷不拘,"月薪34,000~65,000元",新竹市,其他半導體相關業,"1.	AutoCAD/Cadence電路佈局軟體操作暨開發
2.	客戶光罩製程規則(DRC)驗證處理
3.	製程規則(DRC)程式開發撰寫
4.	與製程、整合及研發工程師進行tape out之相關資料處理
"
(SMT)PE工程師 - J1632,廣達電腦股份有限公司,5/17,1年以上,"月薪34,000元以上",桃園市龜山區,電腦及其週邊設備製造業,"/RMA、客訴的回覆與原因調查、檢討追蹤改善預防 
5.工作待遇/職稱(助理工程師或工程師)：將依學經歷進行敘薪"
產品工程師,臺灣麥茲柯股份有限公司,5/24,5年以上,待遇面議,台中市西區,家庭電器／設備及用品批發業,"產品工程師負責從產品概念到產品發佈相關之工程工作, 優化產品成本 (NPD 和 TCP) 以利成本降減, 協助在出現客戶和製造問題時解決問題。因應合規性議題的問題解決, 要因分析和解決方案。"
助理工程師,晟峻科技有限公司,5/25,經歷不拘,"月薪27,000元以上",新竹縣竹北市,半導體製造業,"1.機台管路規劃,保養,維修，以提供客戶滿意的售後服務
2.分析產品功能異常狀況，並協助解決問題
3.協助工程師處理維修品前置作業
4.主管交辦事項
5.協助技術文件製作
6.歡迎無經驗願意學習相關技術者
"
監造工程師(桃園),崇峻工程顧問有限公司,5/25,經歷不拘,"月薪38,000~45,000元",桃園市龜山區,建築工程業,須具備品管工程師證照
品管工程師,有泉科技有限公司,5/21,5年以上,待遇面議,台北市大安區,環境衛生及污染防治服務業,"1. 專案建造工地品質工作之計畫、執行、管理及成效之查核輔導。
2. 品質準則、程序、規範等資料建立、維護與管理、知識庫(KM)技術文件之維護。
3. 綜整缺失改善通知單（DND）、不符合報告（NCR）及矯正措施報告（CAR）之列管、追蹤與分析或協助處理品質事件
4. 管理及維護品質管理相關證照、統計及控制品管相關證照並定期更新及安排訓練計畫。
5. 因應特定品質管理議題提出解決方案、國內外品質主題整理分享。
6. 協調銲接工程技術發展、資訊建立及銲工資料建立與維護。
7. 配合辦理公司內部及外部稽核工作。"
機械/構 工程師,彩富電子股份有限公司,5/24,經歷不拘,待遇面議,台北市內湖區,通訊機械器材相關業,"工作內容：
作為產品工程團隊的一員，設計團隊中的機構工程師，須與大家一起驅動新產品的開發，工作重點放在光學、機構、傳動系統設計。

主要負責：						
1. 設計產品外型，內部結構與傳動系統。
2. 使用Pro/Engineer，進"
監造工程師,立合土木結構工程技師事務所,5/19,經歷不拘,"月薪36,000~50,000元",高雄市鼓山區,土木工程業,"1．土木工程、道路工程相關設計及監造工作
2．監造計劃書編寫
3．負責現場查驗、管理
4． 具有品管勞安人員證照尤佳
5．工作地點：視業務需求由公司統一調派
6．基本工程識圖
7．無經驗可，薪水另面談

"
網頁前端工程師,益富實業股份有限公司,5/21,1年以上,待遇面議,台北市士林區,食品什貨零售業,"1 負責前端開發工作，優化前端功能設計 
2 與後端工程師溝通合作，串接後端 API 
3 透過Git基本控制操作與專案團隊完成任務
4 其他主管交辦事項"
品保工程師/副工程師,旭邦醫療器材股份有限公司,5/26,2年以上,"月薪30,000~42,000元",台中市后里區,醫療器材製造業,"1.	協助主管規劃品保制度，流程之建立及需求表單建立。
2.	檢驗規範制定、測試品保流程及制度可靠度。
3.	協助公司推動品保及法規執行與管理。
4.	依公司流程執行品保工作、並作品質改善。
5.	品管系統流程維護，協助持續改善，並提出執行所遇之問題供日後改進。
6.	儀器校正驗證管理。
7.	客訴處理。
8.	CAPA追踪處理。
9.	主管交辦事項。"
Quality Assurance Engineer / QA 軟體測試工程師,磐弈有限公司,4/18,2年以上,"月薪35,000~70,000元",台中市西屯區,網際網路相關業,"。
•	具平台企劃、溝通協調及整合能力，需與網頁設計和程式設計配合。
•	能自主分析與主動提出想法，提供並分享更有效的測試方式給同仁們互相討論，以提升工作效能。
•	具自動化 QA 工程師經驗。
•	熟悉作業系統操作。
•	具規格及測試文件撰寫能力"
前端工程師,雙子數位科技有限公司,5/26,3年以上,待遇面議,台北市內湖區,電腦軟體服務業,"嗨～～哈囉～

你是本公司要找的前端工程師高手嗎?
就是你！別懷疑！！徵的就是你～
本公司需要有在angular實務上2-3年以上開發經驗的你唷～

此職缺的職務內容有：

• 專責系統程式開發工作
• 與系統分析師溝通確認如何實作需求
• 並配"
機械工程師(中壢廠),東培工業股份有限公司,5/26,經歷不拘,"月薪38,000~43,000元",桃園市中壢區,其他金屬相關製造業,"1.生產技術改善協助。
2.生產異常調查協助。
3.標準指導書新增、修訂製作。
4.效率改善執行追蹤。
5.新進工程師需至現場實習"
驗證測試工程師(QA-QA-B-001),凱舟濾材股份有限公司,5/21,經歷不拘,待遇面議,高雄市仁武區,其他相關製造業,"1.	水質檢測相關實驗設計與執行。
2.	協助品質系統推行與稽核，以確保品質系統實施的有效性。
3.	ISO文件發行管理、建立與維護。
4.	協助研發人員產品開發驗證。
5.	專案計畫驗證執行。
6.	可靠度驗證操作、測試，提升產品品質。
7.	主管交辦事項。
"
